"data","precipitacao","pressao","pressaoMaxAnt","pressaoMinAnt","radiacaoGlobal","temperatura","temperaturaMaxAnt","temperaturaMinAnt","temperaturaOrvalho","temperaturaOrvalhoMaxAnt","temperaturaOrvalhoMinAnt","umidade","umidadeMaxAnt","umidadeMinAnt","ventoDir","ventoMax","ventoVel","energiaGerada"
"2020-10-13 12:00",0.0,1002.7,1003.4,1002.7,2501.4,22.5,22.5,19.8,11.7,12.9,10.7,50.0,60.0,50.0,330.0,5.2,1.1,2434.64,
"2020-10-13 11:00",0.0,1003.2,1003.9,1003.2,3200.8,21.3,21.4,19.0,11.9,13.7,11.3,55.0,69.0,54.0,8.0,4.2,2.1,1782.57,
"2020-10-13 10:00",0.0,1003.9,1004.4,1003.8,1683.6,19.4,19.5,17.4,12.9,13.9,12.1,66.0,74.0,66.0,155.0,3.9,2.0,1397.53,
"2020-10-31 18:00",0.0,1008.9,1008.9,1008.3,567.2,19.8,21.6,19.8,11.6,11.6,9.6,59.0,59.0,47.0,123.0,8.8,4.0,53.27,
"2020-10-31 19:00",0.0,1009.3,1009.3,1008.8,47.4,17.7,19.8,17.7,11.2,11.5,10.6,66.0,66.0,59.0,117.0,10.7,4.1,0.80,
"2020-10-30 05:00",0.0,1009.8,1009.8,1009.4,0.0,10.6,11.3,10.3,8.2,8.8,8.1,86.0,88.0,83.0,140.0,2.4,1.5,32.70,
"2020-10-30 06:00",0.0,1010.7,1010.7,1009.8,132.1,10.9,10.9,10.3,8.6,8.6,7.9,86.0,86.0,84.0,146.0,2.5,1.3,341.65,
"2020-10-30 07:00",0.0,1011.7,1011.7,1010.7,855.9,13.2,13.3,10.9,9.0,9.6,8.7,76.0,86.0,75.0,137.0,4.3,3.0,1000.03,
"2020-10-20 18:00",0.0,1004.2,1004.2,1003.1,413.4,24.0,26.7,24.0,15.9,16.0,15.1,60.0,60.0,51.0,117.0,10.0,4.7,36.24,
"2020-10-31 07:00",0.0,1010.5,1010.5,1009.8,753.4,16.0,16.1,13.9,12.4,12.9,12.0,79.0,89.0,78.0,120.0,4.7,2.5,623.28,
"2020-10-31 08:00",0.0,1009.7,1010.6,1009.7,1304.7,17.9,18.8,15.7,11.9,13.4,11.9,68.0,82.0,68.0,93.0,9.1,4.7,1296.31,
"2020-10-31 09:00",0.0,1010.5,1010.5,1009.7,2126.2,19.2,20.2,17.8,12.0,13.0,11.9,63.0,71.0,61.0,108.0,9.1,3.3,1687.51,
"2020-10-31 14:00",0.0,1008.7,1009.6,1008.7,2259.4,22.1,23.4,21.4,11.5,12.6,10.6,51.0,54.0,47.0,110.0,8.9,4.1,1661.48,
"2020-10-31 15:00",0.0,1008.2,1008.7,1008.2,1978.7,23.6,23.6,21.4,10.5,11.7,9.8,44.0,51.0,44.0,100.0,8.8,4.7,913.73,
"2020-10-31 16:00",0.0,1008.1,1008.2,1008.0,1591.7,21.3,23.6,21.3,9.8,11.1,9.6,48.0,50.0,43.0,117.0,11.9,5.7,767.38,
"2020-10-31 17:00",0.0,1008.3,1008.3,1008.1,994.8,21.6,22.0,21.0,10.0,10.7,8.4,48.0,50.0,43.0,123.0,11.9,4.6,290.75,
"2020-10-31 10:00",0.0,1010.6,1010.7,1010.4,2174.8,20.3,20.5,18.9,11.6,12.5,11.4,57.0,65.0,57.0,110.0,8.0,4.3,2238.94,
"2020-10-31 11:00",0.0,1010.4,1010.6,1010.3,2979.9,23.0,23.1,19.7,11.2,12.5,10.6,47.0,61.0,46.0,91.0,8.7,4.2,2011.07,
"2020-10-31 12:00",0.0,1010.2,1010.5,1010.2,1288.9,20.3,23.0,20.3,11.0,11.8,9.9,55.0,57.0,46.0,111.0,8.7,3.0,843.05,
"2020-10-31 13:00",0.0,1009.6,1010.2,1009.6,1366.1,21.4,21.9,20.1,11.4,12.0,10.8,53.0,58.0,51.0,90.0,6.8,4.1,2042.72,
"2020-10-30 08:00",0.0,1012.1,1012.1,1011.7,1709.9,14.7,15.4,13.2,8.8,9.9,8.5,68.0,76.0,66.0,130.0,5.8,2.9,1727.68,
"2020-10-30 09:00",0.0,1012.0,1012.1,1012.0,2480.0,17.0,17.1,14.7,9.2,9.9,8.6,60.0,70.0,60.0,103.0,6.8,3.7,2245.07,
"2020-10-30 15:00",0.0,1008.6,1009.0,1008.5,2973.9,22.2,22.7,21.3,7.8,8.9,7.0,39.0,43.0,37.0,110.0,10.4,4.8,1737.91,
"2020-10-30 16:00",0.0,1008.6,1008.6,1008.4,1986.7,21.3,22.5,21.0,6.9,9.0,6.9,39.0,44.0,39.0,95.0,10.5,5.2,1089.40,
"2020-10-30 17:00",0.0,1009.2,1009.2,1008.5,1374.0,20.2,21.5,20.1,7.8,7.8,6.7,45.0,45.0,39.0,102.0,12.0,4.5,271.85,
"2020-10-30 18:00",0.0,1009.4,1009.5,1009.2,569.0,19.0,20.3,19.0,9.1,9.4,7.1,52.0,53.0,43.0,108.0,10.1,4.8,35.05,
"2020-10-30 11:00",0.0,1011.3,1011.8,1011.3,3480.7,19.8,20.0,17.8,8.4,9.2,6.2,48.0,55.0,44.0,107.0,8.1,4.1,2716.43,
"2020-10-30 12:00",0.0,1010.2,1011.3,1010.2,3730.7,20.7,21.2,19.1,7.8,9.3,5.3,43.0,50.0,36.0,102.0,10.2,4.9,2911.13,
"2020-10-30 13:00",0.0,1009.3,1010.2,1009.3,3667.1,21.6,21.7,20.3,7.7,9.0,6.6,41.0,46.0,39.0,102.0,9.8,4.7,2578.81,
"2020-10-30 14:00",0.0,1009.0,1009.4,1008.9,3339.4,21.6,22.4,21.0,7.0,8.4,6.1,39.0,43.0,36.0,118.0,10.7,4.7,2359.88,
"2020-10-30 10:00",0.0,1011.8,1012.1,1011.7,2978.4,17.8,18.5,16.0,7.9,9.9,7.6,52.0,64.0,51.0,112.0,7.5,4.3,2694.62,
"2020-10-10 18:00",0.0,1003.1,1003.2,1003.1,420.8,18.9,20.9,18.9,4.7,4.8,3.3,39.0,39.0,32.0,95.0,3.9,2.1,19.60,
"2020-10-10 17:00",0.0,1003.2,1003.2,1002.9,1260.2,20.9,21.7,20.9,4.0,4.9,1.2,33.0,35.0,26.0,85.0,4.9,2.2,273.49,
"2020-10-21 06:00",0.0,1008.4,1008.4,1007.7,45.0,19.4,19.4,19.2,16.5,16.5,16.2,84.0,84.0,83.0,127.0,6.1,2.5,69.84,
"2020-10-21 07:00",0.0,1009.3,1009.3,1008.4,180.9,19.6,19.7,19.3,16.7,16.8,16.4,83.0,84.0,83.0,134.0,5.7,3.2,223.77,
"2020-10-21 08:00",0.0,1009.6,1009.7,1009.3,350.4,20.0,20.0,19.6,16.9,17.0,16.7,82.0,83.0,82.0,128.0,5.9,3.2,390.64,
"2020-10-21 09:00",0.0,1009.7,1009.9,1009.6,759.4,21.4,21.5,20.0,17.3,17.6,16.8,77.0,83.0,77.0,113.0,6.4,3.0,540.44,
"2020-10-21 13:00",0.0,1008.2,1008.8,1008.2,3103.8,26.5,26.6,24.0,17.5,18.1,16.5,58.0,65.0,57.0,113.0,10.8,6.1,1593.61,
"2020-10-21 14:00",0.0,1008.0,1008.3,1007.9,2934.1,24.7,26.8,24.6,16.6,17.9,16.5,61.0,63.0,55.0,106.0,11.1,6.0,1973.16,
"2020-10-21 15:00",0.0,1007.5,1008.0,1007.5,2395.9,24.3,26.1,24.1,17.4,17.7,16.5,65.0,66.0,58.0,112.0,11.7,5.8,1207.00,
"2020-10-21 16:00",0.0,1007.3,1007.6,1007.3,1414.7,23.6,24.7,23.1,17.3,17.7,16.8,68.0,69.0,64.0,118.0,12.4,4.9,685.54,
"2020-10-21 10:00",0.0,1009.5,1009.7,1009.5,1114.7,22.2,22.4,21.3,17.2,17.6,17.1,73.0,78.0,73.0,106.0,8.0,4.1,1311.74,
"2020-10-21 11:00",0.0,1009.1,1009.5,1009.1,2295.0,23.5,24.5,22.1,17.1,18.1,16.8,68.0,74.0,64.0,105.0,10.2,4.4,1615.15,
"2020-10-21 12:00",0.0,1008.8,1009.1,1008.7,2759.2,25.6,25.9,23.4,17.0,17.8,16.5,59.0,69.0,58.0,100.0,9.6,5.2,2058.78,
"2020-10-10 09:00",0.0,1005.0,1005.2,1004.7,2202.9,16.9,17.0,15.3,5.5,6.6,3.3,47.0,54.0,41.0,156.0,4.8,1.6,2072.79,
"2020-10-10 08:00",0.0,1004.7,1004.7,1004.0,1410.8,15.6,15.8,13.9,5.3,8.4,5.3,51.0,69.0,50.0,228.0,4.0,1.9,1506.51,
"2020-10-10 07:00",0.0,1004.0,1004.0,1003.5,558.2,13.9,13.9,12.1,8.2,8.3,6.6,69.0,73.0,65.0,250.0,3.1,2.1,795.16,
"2020-10-10 06:00",0.0,1003.5,1003.5,1003.0,24.4,12.1,12.3,11.6,7.3,7.3,6.5,73.0,74.0,68.0,280.0,3.0,1.1,177.99,
"2020-10-10 12:00",0.0,1004.3,1004.6,1004.2,3492.3,19.5,20.0,18.5,4.2,5.6,1.2,36.0,40.0,29.0,199.0,5.9,2.1,2538.37,
"2020-10-10 11:00",0.0,1004.6,1005.1,1004.6,3265.9,18.6,19.3,17.4,1.1,6.0,0.3,31.0,46.0,29.0,110.0,5.5,1.2,2651.07,
"2020-10-10 10:00",0.0,1005.0,1005.3,1005.0,2837.6,18.0,18.4,16.7,3.7,6.1,2.2,39.0,49.0,36.0,230.0,4.9,1.8,2446.66,
"2020-10-21 05:00",0.0,1007.7,1007.7,1007.2,0.0,19.2,19.3,19.1,16.2,16.2,16.1,83.0,83.0,82.0,147.0,5.8,2.9,0.00,
"2020-10-10 16:00",0.0,1003.1,1003.2,1002.9,2046.8,21.7,22.4,21.4,2.3,3.4,1.1,28.0,30.0,25.0,98.0,6.3,1.7,955.41,
"2020-10-10 15:00",0.0,1003.1,1003.3,1003.0,2724.1,21.8,22.5,21.1,2.1,3.7,0.2,27.0,30.0,24.0,50.0,5.3,2.2,1629.64,
"2020-10-10 14:00",0.0,1003.3,1004.0,1003.3,3220.0,21.7,21.7,20.4,2.3,4.3,-0.3,28.0,34.0,24.0,86.0,5.3,2.0,2123.10,
"2020-10-10 13:00",0.0,1003.9,1004.3,1003.8,3481.4,21.2,21.3,19.5,4.3,4.9,0.2,33.0,37.0,26.0,136.0,6.9,1.4,2460.82,
"2020-10-20 07:00",0.0,1001.1,1001.1,1000.4,656.8,21.6,21.6,18.3,15.6,16.3,15.3,69.0,88.0,69.0,48.0,4.6,2.8,802.35,
"2020-10-20 08:00",0.0,1002.2,1002.2,1001.1,1465.3,24.9,25.0,21.6,16.1,16.9,15.6,58.0,69.0,57.0,156.0,4.8,1.9,1409.17,
"2020-10-20 09:00",0.0,1003.2,1003.2,1002.2,2182.6,25.2,25.3,24.2,17.2,17.9,15.8,61.0,65.0,56.0,169.0,5.5,3.2,1924.62,
"2020-10-20 14:00",0.0,1002.2,1002.8,1002.2,3032.1,31.4,31.7,30.3,15.9,17.2,15.0,39.0,44.0,37.0,136.0,8.7,4.5,1946.84,
